dx, 61078,Highest monthly temperature in degrees C                                                                                                                                                                ,1959     ,     34.9,     34.3,     35.0,     29.4,     24.0,     21.5,     19.8,     28.3,     27.9,     29.1,     36.3,     32.8,     36.3,QC,#
dx, 61078,Highest monthly temperature in degrees C                                                                                                                                                                ,1960     ,     40.9,     37.3,     34.0,     31.4,     23.4,     18.9,     25.8,     24.2,     29.0,     32.8,     34.4,     33.3,     40.9,QC,#
dx, 61078,Highest monthly temperature in degrees C                                                                                                                                                                ,1961     ,     40.8,     36.1,     32.6,     27.9,     24.0,     20.9,     21.1,     21.5,     30.6,     34.9,     35.6,     35.6,     40.8,QC,#
dx, 61078,Highest monthly temperature in degrees C                                                                                                                                                                ,1962     ,     33.0,     35.0,     29.6,     27.8,     22.4,     23.5,     22.0,     27.7,     27.8,     30.6,     35.4,     35.2,     35.4,QC,#
dx, 61078,Highest monthly temperature in degrees C                                                                                                                                                                ,1963     ,     33.6,     33.9,     32.3,     27.8,     25.4,     19.4,     22.1,     22.6,     28.1,     30.3,     31.1,     40.0,     40.0,QC,#
dx, 61078,Highest monthly temperature in degrees C                                                                                                                                                                ,1964     ,     44.1,     33.3,     34.4,     29.4,     25.3,     22.1,     24.3,     25.2,     26.6,     33.6,     38.9,     36.8,     44.1,QC,#
dx, 61078,Highest monthly temperature in degrees C                                                                                                                                                                ,1965     ,     32.9,     39.2,     39.4,     33.8,     27.4,     23.6,     20.4,     24.9,     36.0,     36.6,     39.4,     39.4,     39.4,QC,#
dx, 61078,Highest monthly temperature in degrees C                                                                                                                                                                ,1966     ,     37.0,     37.1,     36.8,     32.1,     24.7,     20.9,     21.7,     21.8,     26.2,     29.5,     37.1,     34.9,     37.1,QC,#
dx, 61078,Highest monthly temperature in degrees C                                                                                                                                                                ,1967     ,     40.7,     34.4,     30.7,     28.3,     25.5,     20.0,     20.6,     21.7,     31.3,     35.7,     38.2,     37.3,     40.7,QC,#
dx, 61078,Highest monthly temperature in degrees C                                                                                                                                                                ,1968     ,     37.7,     39.7,     34.4,     32.2,     24.9,     20.3,     19.8,     24.9,     27.2,     35.0,     42.6,     35.9,     42.6,QC,#
dx, 61078,Highest monthly temperature in degrees C                                                                                                                                                                ,1969     ,     39.8,     35.4,     33.2,     32.1,     24.4,     19.9,     21.7,     26.4,     26.7,     31.1,     31.1,     36.9,     39.8,QC,#
dx, 61078,Highest monthly temperature in degrees C                                                                                                                                                                ,1970     ,     39.3,     33.9,     34.7,     27.5,     22.7,     23.4,     23.6,     24.7,     26.8,     33.9,     32.8,     36.1,     39.3,QC,#
dx, 61078,Highest monthly temperature in degrees C                                                                                                                                                                ,1971     ,     38.9,     32.5,     31.7,     29.1,     24.1,     20.6,     19.1,     23.4,     29.2,     36.2,     33.6,     35.5,     38.9,QC,#
dx, 61078,Highest monthly temperature in degrees C                                                                                                                                                                ,1972     ,     31.7,     32.2,     31.9,     28.1,     22.7,     21.0,     21.8,     26.4,     30.2,     30.0,     31.7,     41.6,     41.6,QC,#
dx, 61078,Highest monthly temperature in degrees C                                                                                                                                                                ,1973     ,     38.7,     40.7,     35.3,     29.5,     29.1,     23.5,     23.2,     25.6,     33.4,     32.8,     36.7,     34.6,     40.7,QC,#
dx, 61078,Highest monthly temperature in degrees C                                                                                                                                                                ,1974     ,     31.1,     34.6,     31.0,     29.3,     26.4,     21.4,     24.4,     21.9,     25.7,     28.5,     38.3,     34.7,     38.3,QC,#
dx, 61078,Highest monthly temperature in degrees C                                                                                                                                                                ,1975     ,     39.0,     37.8,     32.8,     30.4,     27.0,     24.4,     26.0,     24.0,     30.2,     30.3,     37.2,     41.6,     41.6,QC,#
dx, 61078,Highest monthly temperature in degrees C                                                                                                                                                                ,1976     ,     31.2,     32.9,     30.5,     29.7,     25.8,     23.7,     22.5,     25.0,     25.6,     28.6,     32.0,     38.6,     38.6,QC,#
dx, 61078,Highest monthly temperature in degrees C                                                                                                                                                                ,1977     ,     40.6,     42.0,     33.0,     31.2,     24.5,     22.2,     22.5,     28.0,     29.4,     35.3,     36.5,     41.0,     42.0,QC,#
dx, 61078,Highest monthly temperature in degrees C                                                                                                                                                                ,1978     ,     36.9,     37.3,     32.7,     28.7,     25.4,     19.0,     25.0,     23.9,     26.8,     30.7,     33.4,     32.6,     37.3,QC,#
dx, 61078,Highest monthly temperature in degrees C                                                                                                                                                                ,1979     ,     40.4,     39.7,     32.8,     33.5,     26.3,     21.1,     22.6,     24.0,     28.8,     34.3,     33.6,     42.0,     42.0,QC,#
dx, 61078,Highest monthly temperature in degrees C                                                                                                                                                                ,1980     ,     39.4,     40.4,     37.3,     33.3,     25.6,     22.1,     20.8,     27.6,     35.7,     37.0,     41.8,     38.1,     41.8,QC,#
dx, 61078,Highest monthly temperature in degrees C                                                                                                                                                                ,1981     ,     36.5,     38.3,     35.7,     29.0,     22.6,     22.3,     21.6,     24.0,     34.4,     34.5,     29.6,     39.0,     39.0,QC,#
dx, 61078,Highest monthly temperature in degrees C                                                                                                                                                                ,1982     ,     41.0,     38.3,     33.0,     27.9,     25.6,     18.9,     18.1,     28.0,     30.2,     36.0,     43.2,     39.4,     43.2,QC,#
dx, 61078,Highest monthly temperature in degrees C                                                                                                                                                                ,1983     ,     40.3,     41.7,     40.7,     27.5,     24.4,     19.3,     21.6,     22.1,     33.1,     35.0,     34.0,     40.4,     41.7,QC,#
