Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx,200245,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1976     ,     23.2,     21.7,     22.4,     22.2,     20.4,     23.0,     23.2,     22.8,     23.5,     24.0,     22.6,     23.9,     20.4,QC,#
dx,200245,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1977     ,     23.3,     23.2,     22.8,     23.2,     23.2,     23.2,     23.0,     22.0,     22.5,         ,         ,         ,         ,QC,#
dx,200245,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1951     ,     31.2,     30.8,     30.3,     31.1,     30.5,     30.1,     30.1,     30.5,     31.1,     31.0,     31.7,     30.7,     30.8,QC,#
dx,200245,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1952     ,     30.6,     30.4,     29.7,     29.9,     30.4,     30.4,     30.3,     30.6,     31.0,     31.4,     31.7,     30.6,     30.6,QC,#
dx,200245,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1953     ,     29.9,     29.1,     29.9,         ,     29.6,     30.2,     30.1,     30.0,     30.3,     30.7,     31.4,     30.0,         ,QC,#
dx,200245,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1954     ,     30.2,     30.7,     30.3,     30.6,     30.1,     30.1,     30.3,     30.0,     30.1,     30.4,     31.3,     31.6,     30.5,QC,#
dx,200245,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1955     ,     30.6,     30.1,     29.9,     30.0,     30.4,     30.6,     30.5,     30.5,     30.5,     30.1,     30.5,     30.7,     30.4,QC,#
dx,200245,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1956     ,     30.7,     30.2,     30.3,     30.3,     30.6,     30.7,     30.8,     31.0,     30.9,     30.9,     30.9,     31.3,     30.7,QC,#
dx,200245,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1957     ,     30.6,     31.1,     30.4,     30.3,     30.3,     30.1,     29.7,     30.2,     30.5,     30.2,     30.2,     30.8,     30.4,QC,#
dx,200245,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1958     ,     30.7,     30.0,     30.3,     30.3,     30.4,     30.3,     29.9,     30.7,     31.3,     31.4,     30.5,     30.3,     30.5,QC,#
