dx,  9067,Highest monthly temperature in degrees C                                                                                                                                                                ,1977     ,         ,         ,         ,         ,     29.2,         ,         ,     23.2,         ,         ,         ,         ,         ,QC,#
dx,  9067,Highest monthly temperature in degrees C                                                                                                                                                                ,1978     ,         ,         ,         ,         ,         ,         ,     21.0,     25.1,         ,     34.0,         ,         ,         ,QC,#
dx,  9067,Highest monthly temperature in degrees C                                                                                                                                                                ,1979     ,         ,         ,         ,         ,     27.7,         ,     22.8,         ,         ,     33.5,     36.1,         ,         ,QC,#
dx,  9067,Highest monthly temperature in degrees C                                                                                                                                                                ,1980     ,         ,         ,         ,         ,     33.0,         ,     22.4,     23.2,     27.6,     29.7,     33.9,         ,         ,QC,#
dx,  9067,Highest monthly temperature in degrees C                                                                                                                                                                ,1981     ,         ,         ,     37.5,         ,         ,     20.7,     21.8,     20.6,     28.7,         ,     33.9,         ,         ,QC,#
dx,  9067,Highest monthly temperature in degrees C                                                                                                                                                                ,1982     ,     40.4,         ,     36.6,         ,     29.0,         ,     28.4,     25.1,     30.6,         ,     39.3,         ,         ,QC,#
dx,  9067,Highest monthly temperature in degrees C                                                                                                                                                                ,1983     ,         ,         ,     38.9,         ,     31.1,         ,         ,     24.8,     28.9,         ,         ,         ,         ,QC,#
dx,  9067,Highest monthly temperature in degrees C                                                                                                                                                                ,1984     ,     44.9,     43.2,         ,         ,     23.0,         ,         ,         ,         ,         ,         ,         ,         ,QC,#
dx,  9067,Highest monthly temperature in degrees C                                                                                                                                                                ,1985     ,     44.2,         ,         ,         ,     29.6,         ,         ,     23.8,         ,         ,         ,         ,         ,QC,#
dx,  9067,Highest monthly temperature in degrees C                                                                                                                                                                ,1986     ,         ,         ,         ,     33.2,     27.5,     22.6,     19.1,         ,         ,         ,         ,         ,         ,QC,#
dx,  9067,Highest monthly temperature in degrees C                                                                                                                                                                ,1987     ,         ,         ,         ,         ,         ,         ,     23.8,     25.6,         ,         ,         ,         ,         ,QC,#
dx,  9067,Highest monthly temperature in degrees C                                                                                                                                                                ,1989     ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,     39.2,         ,         ,QC,#
dx,  9067,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1965     ,         ,         ,      6.7,     10.0,      2.4,      2.7,     -0.1,      2.2,      0.7,         ,      5.4,         ,         ,QC,#
dx,  9067,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1966     ,     10.0,      8.3,         ,      4.1,      3.1,         ,      1.9,     -1.2,         ,         ,      5.3,         ,         ,QC,#
dx,  9067,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1967     ,         ,         ,         ,      2.0,      4.6,         ,      1.1,      1.3,         ,      5.3,      6.7,         ,         ,QC,#
dx,  9067,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1968     ,         ,         ,         ,         ,      0.2,         ,      2.3,         ,         ,      2.8,      1.4,         ,         ,QC,#
dx,  9067,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1969     ,         ,         ,         ,         ,      5.0,         ,     -0.3,     -0.3,      0.9,      3.9,         ,      9.0,         ,QC,#
dx,  9067,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1970     ,         ,         ,         ,      2.3,      4.4,      6.4,      3.1,      1.9,         ,      4.1,      4.5,         ,         ,QC,#
dx,  9067,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1971     ,         ,         ,      9.7,         ,      1.7,         ,      0.4,      0.6,      3.8,         ,      2.6,      6.8,         ,QC,#
dx,  9067,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1972     ,         ,     12.4,         ,         ,      5.2,      0.6,      1.6,     -0.4,         ,      1.6,      7.5,         ,         ,QC,#
