dx, 71010,Highest monthly temperature in degrees C                                                                                                                                                                ,1966     ,     28.9,     23.6,     26.7,     19.4,     14.4,     13.3,      7.2,      8.3,     14.6,     22.2,     25.2,     23.0,     28.9,QC,#
dx, 71010,Highest monthly temperature in degrees C                                                                                                                                                                ,1967     ,     26.1,     27.2,     23.3,     21.7,     21.1,     14.4,     10.6,      9.2,     17.8,     21.9,     25.6,     26.1,     27.2,QC,#
dx, 71010,Highest monthly temperature in degrees C                                                                                                                                                                ,1968     ,     32.9,     32.8,     27.2,     22.8,     12.8,     10.6,      7.2,      8.9,     12.2,     21.1,     21.3,     23.9,     32.9,QC,#
dx, 71010,Highest monthly temperature in degrees C                                                                                                                                                                ,1969     ,     26.7,     26.7,     22.2,     18.4,     13.0,      9.6,      9.8,     15.6,     12.8,         ,         ,         ,         ,QC,#
dx, 71010,Highest monthly temperature in degrees C                                                                                                                                                                ,1971     ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,     20.6,         ,         ,QC,#
dx, 71010,Highest monthly temperature in degrees C                                                                                                                                                                ,1972     ,     24.4,     23.6,     21.3,     19.3,     18.8,         ,         ,         ,         ,     18.3,     20.6,         ,         ,QC,#
dx, 71010,Highest monthly temperature in degrees C                                                                                                                                                                ,1973     ,         ,         ,         ,         ,     14.2,     10.1,     10.6,         ,         ,         ,     22.5,     24.0,         ,QC,#
dx, 71010,Highest monthly temperature in degrees C                                                                                                                                                                ,1974     ,     26.0,         ,         ,     18.1,     15.2,     12.0,      6.6,      8.6,         ,         ,         ,         ,         ,QC,#
dx, 71010,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1957     ,     -1.1,      0.0,     -2.8,     -6.1,    -10.6,    -11.7,    -12.2,    -12.2,     -8.9,     -6.7,     -5.6,     -3.3,    -12.2,QC,#
dx, 71010,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1958     ,     -3.9,     -0.6,     -3.9,    -10.0,     -5.6,    -12.2,    -13.1,    -11.7,    -11.1,     -3.9,     -5.0,     -2.8,    -13.1,QC,#
dx, 71010,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1959     ,      1.7,      2.8,      0.0,     -6.7,    -11.7,    -11.1,    -13.9,    -15.0,     -8.9,     -5.0,     -1.7,     -3.3,    -15.0,QC,#
dx, 71010,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1960     ,      1.1,      0.0,     -0.6,     -6.1,    -11.1,    -13.3,    -17.8,    -13.9,     -9.4,     -3.9,     -7.8,      1.7,    -17.8,QC,#
dx, 71010,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1961     ,      0.6,     -1.7,     -1.1,     -5.6,    -11.7,    -15.6,    -12.8,    -11.4,     -9.4,     -6.9,     -5.6,     -3.3,    -15.6,QC,#
dx, 71010,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1962     ,      0.0,     -2.2,     -3.9,     -7.2,    -10.6,    -11.1,    -12.8,    -12.2,     -7.8,     -6.7,     -6.7,     -4.4,    -12.8,QC,#
dx, 71010,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1963     ,      2.2,     -1.7,     -6.1,    -10.8,     -9.9,     -8.3,    -13.9,    -13.9,     -7.8,     -6.9,     -7.2,     -0.6,    -13.9,QC,#
dx, 71010,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1964     ,     -3.3,     -3.3,     -7.2,     -7.2,    -10.0,    -10.0,    -13.9,     -9.4,     -8.9,     -5.6,     -3.3,     -6.7,    -13.9,QC,#
dx, 71010,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1965     ,     -2.8,     -5.6,     -5.6,     -7.2,     -8.3,    -13.9,    -16.1,    -17.8,     -4.4,     -5.0,     -5.0,     -1.1,    -17.8,QC,#
dx, 71010,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1966     ,     -1.7,     -1.9,     -5.0,     -5.6,    -11.4,    -12.2,    -17.8,    -15.0,    -11.1,     -6.1,     -3.3,      0.0,    -17.8,QC,#
dx, 71010,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1967     ,     -1.7,     -0.3,     -6.6,    -10.6,    -13.0,     -9.4,    -13.3,    -12.4,     -8.3,     -5.8,     -6.7,     -3.9,    -13.3,QC,#
dx, 71010,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1968     ,     -3.0,     -2.1,     -3.9,     -5.0,    -10.0,    -13.9,    -15.6,    -15.0,     -7.0,     -6.1,     -6.4,     -2.8,    -15.6,QC,#
dx, 71010,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1969     ,     -1.1,      2.2,     -1.7,     -7.2,    -10.0,    -11.1,    -12.8,    -12.8,    -10.6,         ,         ,         ,         ,QC,#
dx, 71010,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1971     ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,     -3.7,     -1.4,         ,QC,#
dx, 71010,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1972     ,      0.6,     -0.4,     -4.5,     -7.2,     -9.3,         ,         ,         ,         ,     -7.0,     -2.6,         ,         ,QC,#
dx, 71010,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1973     ,         ,         ,         ,         ,     -9.8,     -8.2,    -11.6,         ,         ,         ,     -2.0,     -2.2,         ,QC,#
dx, 71010,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1974     ,      0.0,         ,         ,     -7.1,     -8.7,    -11.0,    -11.6,    -16.7,         ,         ,         ,         ,         ,QC,#
dx, 71010,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1897     ,     20.4,     20.9,     17.6,     12.3,      5.7,      3.9,      3.1,      3.2,      8.2,      8.4,     17.7,     21.4,     11.9,QC,#
dx, 71010,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1898     ,     21.4,     20.6,     16.5,      9.9,      3.1,      7.7,      3.8,      4.9,     10.4,     13.6,     15.1,     20.4,     12.3,QC,#
dx, 71010,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1899     ,     18.6,     21.7,     17.4,     13.7,      9.5,      7.5,      5.3,      6.8,     12.1,     11.2,     15.9,     23.1,     13.6,QC,#
dx, 71010,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1900     ,     21.7,     23.2,     17.2,     11.5,      9.9,      7.2,      3.0,      2.9,      6.3,     11.6,     18.5,     20.2,     12.8,QC,#
dx, 71010,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1901     ,     18.6,     21.5,     17.4,     11.4,     10.8,      2.2,      1.9,     -0.6,      4.9,     11.6,     15.9,     20.3,     11.3,QC,#
dx, 71010,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1902     ,     20.3,     16.0,     17.4,     13.7,     10.0,      5.3,     -0.6,      5.4,      4.9,     13.8,     20.3,     19.1,     12.1,QC,#
dx, 71010,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1903     ,     21.8,     20.6,     19.1,     12.7,      7.4,      1.9,      1.7,      4.4,      8.1,     13.2,     15.8,     17.9,     12.1,QC,#
dx, 71010,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1904     ,     18.9,     17.6,     15.6,     13.8,      7.9,      3.8,      2.8,      5.1,      6.3,     12.9,     15.9,     21.2,     11.8,QC,#
dx, 71010,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1905     ,     23.3,     20.6,     19.3,     14.4,      9.6,      5.1,      3.4,      5.8,      5.4,      8.6,     16.5,     20.0,     12.7,QC,#
dx, 71010,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1906     ,     23.9,     23.8,     15.4,     13.2,      9.3,      5.5,      2.7,      5.4,      8.8,     12.4,     13.7,     19.9,     12.8,QC,#
dx, 71010,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1907     ,     20.8,     20.7,     16.7,     11.7,     10.5,      5.6,      4.1,      5.2,     10.8,     13.3,     18.1,     20.7,     13.2,QC,#
