Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx,  9787,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1926     ,     16.3,     15.2,     15.2,     13.5,     11.9,     10.5,      9.4,      9.3,     10.7,     11.3,     13.0,     13.7,     12.5,QC,#
dx,  9787,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1927     ,     14.2,     14.9,     14.2,     15.7,     12.5,     10.9,     10.0,     10.1,     11.3,     11.7,     13.9,     15.3,     12.9,QC,#
dx,  9787,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1928     ,     15.2,     15.3,     15.3,     14.6,     12.8,     11.7,     10.2,     10.6,     10.2,     10.6,     12.7,     14.4,     12.8,QC,#
dx,  9787,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1929     ,     14.6,     15.8,     14.5,     13.4,     11.6,     11.2,     10.6,      9.6,     10.5,     11.7,     13.6,     14.1,     12.6,QC,#
dx,  9787,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1930     ,     15.4,     15.6,     16.7,     14.7,     14.5,     12.8,     11.1,     11.0,     10.7,     11.5,     12.6,     14.0,     13.4,QC,#
dx,  9787,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1931     ,     14.9,     14.7,     15.7,     13.9,     11.4,      9.5,     10.1,      9.9,      9.8,     11.1,     13.0,     15.5,     12.5,QC,#
dx,  9787,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1932     ,     16.8,     16.4,     15.2,     13.7,     13.2,     11.0,     10.2,      9.4,     10.8,     11.4,     12.7,     13.5,     12.9,QC,#
dx,  9787,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1933     ,     15.3,     16.8,     14.8,     13.9,     12.8,     11.7,     10.0,      9.7,     11.0,     11.4,     13.3,     14.5,     12.9,QC,#
dx,  9787,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1934     ,     16.3,     17.2,     16.6,     15.3,     15.0,     12.1,     10.3,     10.5,     10.1,     11.3,     12.6,     13.9,     13.4,QC,#
dx,  9787,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1935     ,     15.2,     15.3,     15.1,     14.9,     13.1,     11.5,      9.8,      9.7,      9.8,     10.3,     11.8,     13.9,     12.5,QC,#
dx,  9787,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1936     ,     15.2,     15.5,     15.7,     14.2,     12.1,     10.9,     10.2,     10.3,     11.5,     11.4,     13.7,     14.9,     13.0,QC,#
dx,  9787,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1937     ,     15.3,     16.3,     15.6,     16.1,     12.7,     11.4,     11.7,      9.8,     10.7,     11.9,     13.5,     14.0,     13.3,QC,#
dx,  9787,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1938     ,     14.8,     14.8,     15.2,     14.2,     12.8,     10.8,     10.4,     10.4,     10.9,     11.4,     12.7,     14.7,     12.8,QC,#
dx,  9787,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1939     ,     15.7,     15.8,     15.5,     14.4,     12.6,     10.7,     10.0,      9.2,     11.2,     11.7,     13.0,     14.6,     12.9,QC,#
dx,  9787,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1940     ,     15.0,     16.1,     15.3,     13.8,     11.8,     11.6,     10.8,     10.6,     11.0,     12.1,     12.8,     14.1,     12.9,QC,#
dx,  9787,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1941     ,     15.3,     15.9,     14.6,     13.7,     12.8,     12.3,     10.7,     11.0,      9.4,     11.2,     13.1,     15.0,     12.9,QC,#
dx,  9787,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1942     ,     14.5,     15.4,     14.9,     14.6,     12.8,     11.1,     10.7,      9.2,      9.4,     10.6,     13.1,     14.7,     12.6,QC,#
dx,  9787,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1943     ,     14.8,     15.3,     15.5,     14.1,     12.7,     12.2,      8.7,      9.8,     10.1,     11.0,     12.8,     14.1,     12.6,QC,#
dx,  9787,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1944     ,     15.3,     15.5,     14.8,     12.8,     11.4,     12.5,     10.9,     11.0,     11.0,     12.7,     13.4,     13.8,     12.9,QC,#
dx,  9787,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1945     ,     15.1,     15.9,     15.7,     16.1,     13.7,     11.3,     10.3,      9.9,     10.1,     11.4,     12.8,     14.7,     13.1,QC,#
dx,  9787,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1946     ,     14.9,     14.4,     14.1,     14.8,     12.8,     11.4,     10.0,     10.0,         ,         ,     13.7,     14.8,         ,QC,#
dx,  9787,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1947     ,     16.6,     16.4,     15.2,     14.5,     13.3,     12.1,     10.4,     10.3,     10.8,     10.9,     12.8,     14.2,     13.1,QC,#
dx,  9787,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1948     ,     16.1,     16.6,     16.9,     13.4,     14.1,     12.3,     10.4,     11.2,     10.8,     11.8,     12.6,     13.6,     13.3,QC,#
