dx, 48245,Highest monthly temperature in degrees C                                                                                                                                                                ,2009     ,     42.0,     43.4,     40.6,     33.4,     26.2,     24.3,     24.9,     34.8,     34.1,     38.7,     46.6,     43.2,     46.6,QC,#
dx, 48245,Highest monthly temperature in degrees C                                                                                                                                                                ,2010     ,     43.2,     36.9,     36.0,     32.4,     29.9,         ,         ,     29.9,     32.1,     34.4,     34.9,     36.7,         ,QC,#
dx, 48245,Highest monthly temperature in degrees C                                                                                                                                                                ,2011     ,     44.9,     40.5,     36.8,     31.2,     27.2,     24.2,     25.9,     28.9,     33.8,     37.5,     41.8,     35.9,     44.9,QC,#
dx, 48245,Highest monthly temperature in degrees C                                                                                                                                                                ,2012     ,     41.7,     38.4,     33.9,     35.9,     30.8,     25.1,     23.7,     31.2,     35.8,     38.4,     43.8,     42.5,     43.8,QC,#
dx, 48245,Highest monthly temperature in degrees C                                                                                                                                                                ,2013     ,     48.3,     40.4,     38.0,     33.8,     32.1,         ,         ,         ,         ,         ,         ,         ,         ,QC,#
dx, 48245,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1999     ,     19.0,     15.0,     10.0,      4.0,      2.0,      0.0,      0.0,      0.0,      3.0,      5.0,      9.0,     13.0,      0.0,QC,#
dx, 48245,Lowest monthly temperature in degrees C                                                                                                                                                                 ,2000     ,     11.0,         ,         ,         ,         ,         ,     -2.0,         ,         ,      5.0,     13.0,     12.0,         ,QC,#
dx, 48245,Lowest monthly temperature in degrees C                                                                                                                                                                 ,2001     ,     17.0,     18.0,     10.0,      5.0,      0.0,      0.0,     -1.0,     -2.0,      4.0,      6.0,      7.0,     13.0,     -2.0,QC,#
dx, 48245,Lowest monthly temperature in degrees C                                                                                                                                                                 ,2002     ,     13.0,     14.0,     13.0,     11.0,      1.0,     -3.0,     -3.0,     -1.0,      2.3,      6.7,     11.9,     11.8,     -3.0,QC,#
dx, 48245,Lowest monthly temperature in degrees C                                                                                                                                                                 ,2003     ,     16.7,     18.3,     11.8,     10.7,      3.4,         ,     -0.4,      0.2,      3.3,      4.1,      7.3,     19.5,         ,QC,#
dx, 48245,Lowest monthly temperature in degrees C                                                                                                                                                                 ,2004     ,     15.5,     14.8,     13.9,      4.6,      1.0,     -1.2,     -1.2,     -0.9,      1.5,      8.9,     11.3,     12.6,     -1.2,QC,#
dx, 48245,Lowest monthly temperature in degrees C                                                                                                                                                                 ,2005     ,     16.0,     11.0,     10.9,     11.2,      1.6,      0.2,         ,     -2.2,      2.8,      7.0,     11.5,     12.3,         ,QC,#
dx, 48245,Lowest monthly temperature in degrees C                                                                                                                                                                 ,2006     ,     20.6,         ,     15.7,      3.4,     -1.7,     -1.5,     -2.1,      0.0,      4.1,      8.4,      9.5,     12.5,         ,QC,#
dx, 48245,Lowest monthly temperature in degrees C                                                                                                                                                                 ,2007     ,     16.1,     20.6,      9.2,      8.4,      4.4,     -1.4,     -3.5,     -0.1,      4.8,      8.1,     11.5,         ,         ,QC,#
dx, 48245,Lowest monthly temperature in degrees C                                                                                                                                                                 ,2008     ,     18.6,         ,      5.8,      1.8,      2.9,      0.6,     -0.9,     -2.4,      2.9,      6.5,     11.2,         ,         ,QC,#
