dx, 31029,Highest monthly temperature in degrees C                                                                                                                                                                ,1966     ,     32.7,     32.8,     31.1,     29.4,     27.8,     25.6,     25.6,     27.9,     30.6,     29.6,     31.2,     34.0,     34.0,QC,#
dx, 31029,Highest monthly temperature in degrees C                                                                                                                                                                ,1967     ,     34.8,     31.2,     30.2,     29.1,     27.3,     24.0,     22.8,     28.3,         ,     30.0,     34.0,         ,         ,QC,#
dx, 31029,Highest monthly temperature in degrees C                                                                                                                                                                ,1968     ,         ,     30.4,     30.6,     28.9,     27.8,     29.4,     25.6,     31.7,     30.0,     32.8,     35.6,     33.9,         ,QC,#
dx, 31029,Highest monthly temperature in degrees C                                                                                                                                                                ,1969     ,     31.7,     31.8,     28.9,     28.9,     26.7,         ,     23.3,     25.6,     31.7,     32.8,     35.0,     36.7,         ,QC,#
dx, 31029,Highest monthly temperature in degrees C                                                                                                                                                                ,1970     ,     32.8,     31.7,     32.8,     29.4,     26.1,     27.8,     24.4,     30.0,     30.6,     32.2,     31.7,     32.2,     32.8,QC,#
dx, 31029,Highest monthly temperature in degrees C                                                                                                                                                                ,1971     ,     34.4,     31.1,     28.3,     26.1,     26.7,     25.6,     26.1,     29.4,     33.3,     34.4,     36.1,     32.8,     36.1,QC,#
dx, 31029,Highest monthly temperature in degrees C                                                                                                                                                                ,1972     ,     32.8,     31.1,     30.0,     28.8,     22.7,     25.2,     26.9,     29.1,     27.8,     33.4,     35.7,     34.3,     35.7,QC,#
dx, 31029,Highest monthly temperature in degrees C                                                                                                                                                                ,1973     ,     35.2,     31.7,     29.4,     27.8,     28.7,     28.3,     27.1,     28.4,     30.2,     32.4,     31.8,     31.6,     35.2,QC,#
dx, 31029,Highest monthly temperature in degrees C                                                                                                                                                                ,1974     ,     30.4,     29.8,     30.3,     31.7,     26.4,     26.6,     27.2,     28.1,     29.9,     31.7,     32.7,     34.2,     34.2,QC,#
dx, 31029,Highest monthly temperature in degrees C                                                                                                                                                                ,1975     ,     31.4,     28.6,     29.2,     28.7,     27.8,     29.4,     26.1,     28.9,     29.4,     32.9,     34.4,     30.2,     34.4,QC,#
dx, 31029,Highest monthly temperature in degrees C                                                                                                                                                                ,1976     ,     31.2,     29.2,     30.7,     25.9,     24.8,     24.3,     27.4,     26.6,     30.8,     33.6,     33.7,     31.6,     33.7,QC,#
dx, 31029,Highest monthly temperature in degrees C                                                                                                                                                                ,1977     ,     31.3,     32.4,     29.9,     26.6,     25.7,     24.7,     22.7,     26.3,     29.4,     29.8,     35.2,     34.1,     35.2,QC,#
dx, 31029,Highest monthly temperature in degrees C                                                                                                                                                                ,1978     ,     30.8,     32.8,     32.8,     29.2,     28.8,     28.2,     26.4,     28.7,     28.3,     31.3,     31.2,     33.4,     33.4,QC,#
dx, 31029,Highest monthly temperature in degrees C                                                                                                                                                                ,1979     ,     30.6,     29.5,     31.3,     26.7,     26.9,     25.4,     24.0,     28.8,     28.1,     32.4,     33.4,     36.2,     36.2,QC,#
dx, 31029,Highest monthly temperature in degrees C                                                                                                                                                                ,1980     ,     34.0,     32.8,     29.6,     28.1,     27.8,     25.8,     26.2,     26.0,     30.6,     34.7,     34.0,     31.0,     34.7,QC,#
dx, 31029,Highest monthly temperature in degrees C                                                                                                                                                                ,1981     ,     32.0,     31.3,     31.0,     33.0,     26.0,     27.0,     24.2,     29.0,     31.2,     32.2,     33.5,     34.3,     34.3,QC,#
