dx, 72043,Highest monthly temperature in degrees C                                                                                                                                                                ,1975     ,         ,         ,         ,     23.0,         ,     16.7,     20.0,         ,     23.1,         ,     32.5,         ,         ,QC,#
dx, 72043,Highest monthly temperature in degrees C                                                                                                                                                                ,1976     ,         ,     32.6,     28.8,         ,         ,     15.6,         ,     20.2,     20.5,         ,     27.6,         ,         ,QC,#
dx, 72043,Highest monthly temperature in degrees C                                                                                                                                                                ,1977     ,         ,         ,     29.0,         ,     20.1,     15.3,     14.3,     21.6,     23.1,     28.3,     32.3,         ,         ,QC,#
dx, 72043,Highest monthly temperature in degrees C                                                                                                                                                                ,1978     ,     35.0,         ,     33.5,         ,     22.4,     14.4,     14.8,     15.5,         ,     25.0,     30.0,         ,         ,QC,#
dx, 72043,Highest monthly temperature in degrees C                                                                                                                                                                ,1979     ,     37.2,         ,     31.1,         ,     20.0,         ,     15.2,     17.6,         ,     26.1,     28.1,         ,         ,QC,#
dx, 72043,Highest monthly temperature in degrees C                                                                                                                                                                ,1980     ,     33.0,     36.0,     34.7,         ,     21.9,         ,     15.8,     19.2,     27.0,     27.3,         ,         ,         ,QC,#
dx, 72043,Highest monthly temperature in degrees C                                                                                                                                                                ,1981     ,         ,         ,     30.4,         ,     21.9,     13.7,     14.8,     14.7,     26.1,         ,     28.6,     31.2,         ,QC,#
dx, 72043,Highest monthly temperature in degrees C                                                                                                                                                                ,1982     ,         ,         ,     32.6,         ,     18.6,     14.7,     13.5,     21.8,     19.8,         ,     35.8,         ,         ,QC,#
dx, 72043,Highest monthly temperature in degrees C                                                                                                                                                                ,1983     ,         ,         ,     35.0,         ,     20.8,     14.8,     13.6,     17.8,     19.7,     26.1,     27.0,         ,         ,QC,#
dx, 72043,Highest monthly temperature in degrees C                                                                                                                                                                ,1984     ,     31.7,     31.0,     28.5,         ,     18.8,         ,     13.8,     16.7,         ,     26.3,     29.8,         ,         ,QC,#
dx, 72043,Highest monthly temperature in degrees C                                                                                                                                                                ,1985     ,     36.6,         ,     32.1,         ,     22.0,         ,     15.4,     14.4,     22.0,     25.5,         ,         ,         ,QC,#
dx, 72043,Highest monthly temperature in degrees C                                                                                                                                                                ,1986     ,         ,         ,         ,         ,         ,         ,         ,     16.4,         ,         ,         ,         ,         ,QC,#
dx, 72043,Highest monthly temperature in degrees C                                                                                                                                                                ,1987     ,         ,         ,     29.2,         ,     21.0,         ,     14.1,     16.6,     25.9,         ,     31.1,         ,         ,QC,#
dx, 72043,Highest monthly temperature in degrees C                                                                                                                                                                ,1988     ,         ,     32.5,     31.3,         ,     23.8,     17.6,     14.4,     18.2,     21.5,     27.8,     29.5,         ,         ,QC,#
dx, 72043,Highest monthly temperature in degrees C                                                                                                                                                                ,1989     ,     31.1,         ,         ,         ,     20.5,         ,         ,     15.9,         ,         ,     29.9,         ,         ,QC,#
dx, 72043,Highest monthly temperature in degrees C                                                                                                                                                                ,1990     ,     39.0,         ,     31.1,         ,     20.1,         ,     16.4,     17.1,         ,         ,     32.7,         ,         ,QC,#
dx, 72043,Highest monthly temperature in degrees C                                                                                                                                                                ,1991     ,     34.8,         ,         ,         ,     22.4,         ,     15.1,         ,     20.4,     26.6,         ,         ,         ,QC,#
dx, 72043,Highest monthly temperature in degrees C                                                                                                                                                                ,1992     ,     36.6,         ,     28.9,         ,     21.4,     15.4,     14.6,         ,     16.0,         ,     25.4,         ,         ,QC,#
dx, 72043,Highest monthly temperature in degrees C                                                                                                                                                                ,1993     ,         ,         ,     26.6,         ,     20.8,     13.9,     16.3,     17.7,     22.4,         ,     30.9,         ,         ,QC,#
dx, 72043,Highest monthly temperature in degrees C                                                                                                                                                                ,1994     ,         ,     32.9,     26.4,     24.3,     20.6,     18.6,     16.6,     18.9,     22.1,     27.3,     30.8,     36.0,         ,QC,#
dx, 72043,Highest monthly temperature in degrees C                                                                                                                                                                ,1995     ,     33.4,     33.9,     30.9,     21.7,     18.2,     18.4,     11.8,     22.0,     20.1,     25.9,     30.1,     31.6,     33.9,QC,#
dx, 72043,Highest monthly temperature in degrees C                                                                                                                                                                ,1996     ,     34.4,     30.1,     28.7,     22.0,     22.1,     17.8,     14.1,     16.6,     23.1,     24.8,     26.9,     32.6,     34.4,QC,#
dx, 72043,Highest monthly temperature in degrees C                                                                                                                                                                ,1997     ,     33.6,     35.0,     31.1,     25.1,     23.1,     16.8,     14.0,     16.3,     18.1,     28.9,     36.6,     37.3,     37.3,QC,#
dx, 72043,Highest monthly temperature in degrees C                                                                                                                                                                ,1998     ,     36.0,     35.6,     35.6,     29.0,     21.0,     18.0,     14.1,     17.4,     22.9,     26.4,     27.2,     34.1,     36.0,QC,#
