dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,1978     ,     41.3,     39.8,     41.6,     39.8,     38.1,     34.4,     34.0,     37.2,     38.1,     39.5,     42.0,     41.5,     42.0,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,1979     ,     41.6,     39.4,     40.5,     39.4,     38.0,     35.0,     34.7,     35.8,     38.3,     42.7,     42.0,     42.5,     42.7,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,1980     ,     39.7,     38.9,     41.5,     38.3,     37.8,     34.5,     34.3,     36.6,     39.9,     41.8,     43.2,     42.0,     43.2,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,1981     ,     40.7,     39.6,     40.5,     39.6,     36.6,     36.0,     36.2,     38.0,     39.8,     42.0,     41.8,     43.0,     43.0,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,1982     ,     40.0,     40.6,     39.6,     37.5,     35.0,     35.1,     33.5,     35.0,     38.9,     41.7,     45.4,     44.7,     45.4,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,1983     ,     43.7,     41.4,     38.2,     38.2,     35.8,     33.2,     34.0,     38.3,     40.0,     41.4,     42.2,     43.3,     43.7,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,1984     ,     39.5,     40.2,     37.6,     37.7,     36.5,     34.0,     33.9,     37.2,     38.3,     45.0,     43.4,     44.3,     45.0,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,1985     ,     44.6,     41.0,     43.0,     40.4,     37.4,     33.2,     34.3,     39.6,     40.4,     42.0,     44.9,     45.4,     45.4,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,1986     ,     42.0,     42.8,     40.2,     39.7,     38.6,     34.8,     35.2,     37.5,     40.1,     43.1,     42.4,         ,         ,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,1987     ,         ,     38.5,     39.3,     40.2,     38.4,     34.6,     33.5,     36.9,         ,     43.7,     43.3,     42.7,         ,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,1988     ,     41.2,     42.6,     43.6,     38.5,     37.9,     36.0,     35.0,     37.8,     40.5,     43.0,     44.2,     41.0,     44.2,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,1989     ,     41.0,     41.3,     38.5,     38.5,     35.5,     34.8,     34.6,     36.9,     41.1,     43.0,     44.9,     42.7,     44.9,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,1990     ,     41.0,     41.5,     41.5,     39.7,     38.3,     35.0,     35.9,     37.7,     37.8,     42.8,     44.9,     42.9,     44.9,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,1991     ,     41.1,     37.0,     40.2,     37.8,     36.7,     35.0,     35.1,     37.8,     39.1,     42.8,     43.1,     43.9,     43.9,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,1992     ,     44.7,     41.0,     42.2,     40.0,     38.3,     36.1,     36.5,     36.8,     41.1,     42.0,     46.0,     43.9,     46.0,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,1993     ,     43.2,     39.5,         ,     38.3,     36.3,     35.2,     35.9,     36.4,     38.8,     44.4,     42.4,     41.8,         ,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,1994     ,     43.0,     44.0,     38.3,     38.4,     36.1,     34.8,     33.6,     35.4,     39.8,     42.3,     43.0,     40.8,     44.0,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,1995     ,     40.8,     38.5,     38.3,     38.1,     36.6,     34.8,     37.3,     38.7,     41.7,     41.5,     43.4,     42.7,     43.4,QC,#
