dx, 82137,Highest monthly temperature in degrees C                                                                                                                                                                ,2000     ,     32.4,     38.0,     36.2,     28.2,         ,         ,         ,         ,         ,         ,         ,     37.9,         ,QC,#
dx, 82137,Highest monthly temperature in degrees C                                                                                                                                                                ,2001     ,     41.4,     36.1,     33.5,     27.7,         ,         ,         ,         ,         ,         ,         ,     33.8,         ,QC,#
dx, 82137,Highest monthly temperature in degrees C                                                                                                                                                                ,2002     ,     37.0,     34.5,     34.8,     29.3,         ,         ,         ,         ,         ,         ,     35.2,     38.7,         ,QC,#
dx, 82137,Highest monthly temperature in degrees C                                                                                                                                                                ,2003     ,     39.7,     37.7,     32.0,     26.7,         ,         ,         ,         ,         ,         ,     34.4,     35.9,         ,QC,#
dx, 82137,Highest monthly temperature in degrees C                                                                                                                                                                ,2004     ,     36.0,     40.8,     35.0,     31.9,         ,         ,         ,         ,         ,         ,     34.1,     33.3,         ,QC,#
dx, 82137,Highest monthly temperature in degrees C                                                                                                                                                                ,2005     ,     36.0,     36.2,     35.4,     31.6,         ,         ,         ,         ,         ,         ,     30.0,     40.2,         ,QC,#
dx, 82137,Highest monthly temperature in degrees C                                                                                                                                                                ,2006     ,     41.2,     37.1,     37.2,     24.6,         ,         ,         ,         ,         ,         ,     37.2,     39.5,         ,QC,#
dx, 82137,Highest monthly temperature in degrees C                                                                                                                                                                ,2007     ,     40.9,     38.6,     36.5,     27.7,         ,         ,         ,         ,         ,         ,     37.9,     39.0,         ,QC,#
dx, 82137,Highest monthly temperature in degrees C                                                                                                                                                                ,2008     ,     38.8,     32.2,     37.4,     27.0,         ,         ,         ,         ,         ,         ,     31.2,     32.2,         ,QC,#
dx, 82137,Highest monthly temperature in degrees C                                                                                                                                                                ,2009     ,     42.8,     44.3,     32.5,     31.1,         ,         ,         ,         ,         ,         ,     39.1,     37.3,         ,QC,#
dx, 82137,Highest monthly temperature in degrees C                                                                                                                                                                ,2010     ,     41.2,     37.7,     29.9,     26.7,         ,         ,         ,         ,         ,         ,     30.1,     37.5,         ,QC,#
dx, 82137,Highest monthly temperature in degrees C                                                                                                                                                                ,2011     ,     37.9,     38.0,     30.0,     25.0,         ,         ,         ,         ,         ,         ,     33.5,     32.3,         ,QC,#
dx, 82137,Highest monthly temperature in degrees C                                                                                                                                                                ,2012     ,     37.0,     34.5,     28.6,     28.8,         ,         ,         ,         ,         ,         ,         ,         ,         ,QC,#
dx, 82137,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1986     ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,      2.6,         ,QC,#
dx, 82137,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1987     ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,      0.9,      0.8,         ,QC,#
dx, 82137,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1991     ,      8.1,      5.8,      3.0,     -1.8,         ,         ,         ,         ,         ,         ,      0.0,      0.6,         ,QC,#
dx, 82137,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1992     ,      4.4,      4.4,      4.9,     -1.4,         ,         ,         ,         ,         ,         ,      1.8,      2.8,         ,QC,#
dx, 82137,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1993     ,      7.4,      3.8,      3.3,         ,         ,         ,         ,         ,         ,         ,      1.0,      1.0,         ,QC,#
dx, 82137,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1994     ,      2.6,      6.5,      3.0,      0.2,         ,         ,         ,         ,         ,         ,      0.0,      6.1,         ,QC,#
dx, 82137,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1995     ,      6.7,      4.8,      0.3,     -2.6,         ,         ,         ,         ,         ,         ,      2.8,      1.6,         ,QC,#
dx, 82137,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1996     ,      6.0,      3.6,      2.0,     -1.8,         ,         ,         ,         ,         ,         ,     -0.8,      1.8,         ,QC,#
dx, 82137,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1997     ,      3.3,      6.3,      1.9,     -1.5,         ,         ,         ,         ,         ,         ,      1.8,      3.7,         ,QC,#
dx, 82137,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1998     ,      6.7,      2.8,      3.7,      1.0,         ,         ,         ,         ,         ,         ,     -1.0,      5.2,         ,QC,#
dx, 82137,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1999     ,      8.7,      2.2,      0.9,     -2.8,         ,         ,         ,         ,         ,         ,      0.3,      1.7,         ,QC,#
dx, 82137,Lowest monthly temperature in degrees C                                                                                                                                                                 ,2000     ,      2.9,      6.9,      5.4,     -1.2,         ,         ,         ,         ,         ,         ,         ,      1.2,         ,QC,#
dx, 82137,Lowest monthly temperature in degrees C                                                                                                                                                                 ,2001     ,      8.2,      7.6,      1.4,     -1.5,         ,         ,         ,         ,         ,         ,         ,      0.4,         ,QC,#
dx, 82137,Lowest monthly temperature in degrees C                                                                                                                                                                 ,2002     ,      2.6,      4.1,      4.1,     -0.9,         ,         ,         ,         ,         ,         ,     -1.2,      1.3,         ,QC,#
dx, 82137,Lowest monthly temperature in degrees C                                                                                                                                                                 ,2003     ,      4.1,      5.9,      0.9,      2.1,         ,         ,         ,         ,         ,         ,     -0.9,      6.5,         ,QC,#
dx, 82137,Lowest monthly temperature in degrees C                                                                                                                                                                 ,2004     ,      3.2,      5.1,      2.0,      0.4,         ,         ,         ,         ,         ,         ,      1.6,      2.4,         ,QC,#
dx, 82137,Lowest monthly temperature in degrees C                                                                                                                                                                 ,2005     ,      3.8,      5.4,      2.7,     -0.8,         ,         ,         ,         ,         ,         ,      3.7,      4.4,         ,QC,#
dx, 82137,Lowest monthly temperature in degrees C                                                                                                                                                                 ,2006     ,      5.7,      3.6,      4.9,     -3.0,         ,         ,         ,         ,         ,         ,      0.3,      0.8,         ,QC,#
dx, 82137,Lowest monthly temperature in degrees C                                                                                                                                                                 ,2007     ,      6.6,     12.4,      5.0,      3.6,         ,         ,         ,         ,         ,         ,      3.5,      4.8,         ,QC,#
dx, 82137,Lowest monthly temperature in degrees C                                                                                                                                                                 ,2008     ,      8.2,      0.5,      1.1,     -1.6,         ,         ,         ,         ,         ,         ,      3.6,      2.2,         ,QC,#
dx, 82137,Lowest monthly temperature in degrees C                                                                                                                                                                 ,2009     ,      4.3,      3.9,      0.9,     -1.3,         ,         ,         ,         ,         ,         ,      2.4,      4.1,         ,QC,#
dx, 82137,Lowest monthly temperature in degrees C                                                                                                                                                                 ,2010     ,      3.3,      8.1,      3.2,      0.6,         ,         ,         ,         ,         ,         ,      3.5,      5.4,         ,QC,#
dx, 82137,Lowest monthly temperature in degrees C                                                                                                                                                                 ,2011     ,         ,      6.1,      3.6,      0.8,         ,         ,         ,         ,         ,         ,      2.6,      2.8,         ,QC,#
dx, 82137,Lowest monthly temperature in degrees C                                                                                                                                                                 ,2012     ,      5.4,      6.6,      2.4,     -2.1,         ,         ,         ,         ,         ,         ,         ,         ,         ,QC,#
dx, 82137,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1986     ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,     24.6,         ,QC,#
dx, 82137,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1987     ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,     24.9,     28.3,         ,QC,#
