dx, 10111,Highest monthly temperature in degrees C                                                                                                                                                                ,1916     ,     40.6,     40.7,     39.3,     35.6,     31.9,     20.3,     21.4,     21.3,     30.0,     30.8,     38.9,     40.6,     40.7,QC,#
dx, 10111,Highest monthly temperature in degrees C                                                                                                                                                                ,1917     ,     44.3,     40.9,     34.4,     29.2,     22.5,     21.7,     20.0,     23.5,     24.0,     32.4,     39.4,     36.7,     44.3,QC,#
dx, 10111,Highest monthly temperature in degrees C                                                                                                                                                                ,1918     ,     42.8,     35.4,     35.6,     35.0,     25.1,     22.8,     20.6,     22.2,     34.6,     33.8,     39.4,     42.8,     42.8,QC,#
dx, 10111,Highest monthly temperature in degrees C                                                                                                                                                                ,1919     ,     41.1,     43.5,     43.3,     33.6,     26.7,     25.6,     23.9,     21.8,     23.9,     32.2,     37.8,     40.6,     43.5,QC,#
dx, 10111,Highest monthly temperature in degrees C                                                                                                                                                                ,1920     ,     41.2,     41.3,     41.1,     31.7,     27.7,     20.2,     20.6,     21.8,     30.0,     32.8,     39.6,     42.4,     42.4,QC,#
dx, 10111,Highest monthly temperature in degrees C                                                                                                                                                                ,1921     ,     45.6,     43.4,     42.4,     33.3,     28.9,     20.7,     22.8,     26.2,     29.3,     31.8,     34.0,     40.6,     45.6,QC,#
dx, 10111,Highest monthly temperature in degrees C                                                                                                                                                                ,1922     ,     43.1,     41.1,     42.8,     37.2,     27.2,     21.4,     18.9,     24.4,     30.2,     39.1,     37.2,     39.9,     43.1,QC,#
dx, 10111,Highest monthly temperature in degrees C                                                                                                                                                                ,1923     ,     41.7,     45.0,     41.3,     35.0,     26.2,     19.7,     20.0,     24.6,     22.3,     31.2,     44.1,     38.9,     45.0,QC,#
dx, 10111,Highest monthly temperature in degrees C                                                                                                                                                                ,1924     ,     43.3,     42.8,     37.2,     35.1,     28.9,     21.2,     20.3,     20.6,     27.3,     29.1,     38.4,     42.7,     43.3,QC,#
dx, 10111,Highest monthly temperature in degrees C                                                                                                                                                                ,1925     ,     41.9,     38.9,     36.4,     36.6,     28.6,     26.2,     19.2,     21.5,     27.7,     33.8,     40.3,     40.8,     41.9,QC,#
dx, 10111,Highest monthly temperature in degrees C                                                                                                                                                                ,1926     ,     44.2,     40.7,     38.9,     35.2,     25.6,     21.2,     19.7,     21.1,     29.9,     34.0,     36.5,     38.9,     44.2,QC,#
dx, 10111,Highest monthly temperature in degrees C                                                                                                                                                                ,1927     ,     39.5,     41.7,     35.4,     36.7,     29.1,     20.1,     21.1,     22.2,     29.0,     31.2,     40.3,     41.1,     41.7,QC,#
dx, 10111,Highest monthly temperature in degrees C                                                                                                                                                                ,1928     ,     40.7,     40.0,     38.1,     37.2,     33.5,     22.8,     22.2,     22.4,     24.0,     28.9,     38.3,     42.9,     42.9,QC,#
dx, 10111,Highest monthly temperature in degrees C                                                                                                                                                                ,1929     ,     41.7,     41.4,     37.8,     33.5,     25.4,     21.2,     18.3,     23.9,     28.9,     33.8,     34.4,     43.3,     43.3,QC,#
dx, 10111,Highest monthly temperature in degrees C                                                                                                                                                                ,1930     ,     46.2,     41.7,     37.8,     32.9,     28.9,     22.5,     21.1,     23.4,     32.1,     30.0,     37.2,     39.9,     46.2,QC,#
dx, 10111,Highest monthly temperature in degrees C                                                                                                                                                                ,1931     ,     41.1,     40.8,     37.2,     34.2,     26.1,     21.0,     19.4,     21.6,     25.0,     36.1,     36.7,     40.6,     41.1,QC,#
dx, 10111,Highest monthly temperature in degrees C                                                                                                                                                                ,1932     ,     42.2,     41.6,     37.2,     32.4,     28.3,     22.4,     21.1,     24.4,     27.2,     32.2,     37.9,     40.4,     42.2,QC,#
dx, 10111,Highest monthly temperature in degrees C                                                                                                                                                                ,1933     ,     39.4,     46.1,     40.8,     35.1,     30.4,     22.8,     20.6,     22.3,     30.9,     32.0,     40.2,     41.8,     46.1,QC,#
dx, 10111,Highest monthly temperature in degrees C                                                                                                                                                                ,1934     ,     44.6,     44.4,     42.8,     27.1,     30.0,     22.8,     20.0,     25.0,     26.7,     32.8,     33.4,     40.7,     44.6,QC,#
