dx, 29039,Highest monthly temperature in degrees C                                                                                                                                                                ,1982     ,     36.0,     33.5,     34.0,     33.5,     30.5,     28.5,     27.2,     29.8,     32.8,     33.7,     34.2,     34.0,     36.0,QC,#
dx, 29039,Highest monthly temperature in degrees C                                                                                                                                                                ,1983     ,     36.5,     35.4,     35.5,     33.2,     29.6,     29.2,     29.0,     32.0,     33.7,     35.7,     37.5,     35.8,     37.5,QC,#
dx, 29039,Highest monthly temperature in degrees C                                                                                                                                                                ,1984     ,         ,     33.0,     33.2,     33.8,     31.8,     29.7,     29.3,     30.0,     32.0,     36.4,     36.3,     37.2,         ,QC,#
dx, 29039,Highest monthly temperature in degrees C                                                                                                                                                                ,1985     ,     37.0,     34.3,     33.8,     32.1,     31.8,     29.6,     27.4,     32.2,     31.8,     33.2,     35.5,     37.5,     37.5,QC,#
dx, 29039,Highest monthly temperature in degrees C                                                                                                                                                                ,1986     ,     35.3,     34.2,     37.7,     33.8,     32.5,     29.5,     32.0,     32.1,     34.5,     34.6,     35.5,         ,         ,QC,#
dx, 29039,Highest monthly temperature in degrees C                                                                                                                                                                ,1987     ,         ,     34.0,     34.5,     34.5,     33.5,     30.6,     30.0,     32.5,     32.2,     37.0,     36.2,     35.4,         ,QC,#
dx, 29039,Highest monthly temperature in degrees C                                                                                                                                                                ,1988     ,     35.3,     35.6,     36.8,     33.6,     33.5,     31.3,     30.5,     34.5,     33.5,     38.0,     39.0,     39.0,     39.0,QC,#
dx, 29039,Highest monthly temperature in degrees C                                                                                                                                                                ,1989     ,     37.0,     36.6,     34.6,     33.8,     32.2,     31.4,     29.5,     32.2,     38.0,     35.6,     39.0,     37.0,     39.0,QC,#
dx, 29039,Highest monthly temperature in degrees C                                                                                                                                                                ,1990     ,     35.0,     37.0,     35.0,     34.0,     34.5,     30.0,     31.0,     31.5,         ,     35.5,     39.0,     39.0,         ,QC,#
dx, 29039,Highest monthly temperature in degrees C                                                                                                                                                                ,1991     ,     34.0,     33.0,     35.0,     34.0,     32.5,     31.1,         ,         ,         ,         ,         ,         ,         ,QC,#
dx, 29039,Highest monthly temperature in degrees C                                                                                                                                                                ,1992     ,     37.4,         ,     33.1,     34.0,     32.5,     30.1,     28.7,     29.7,         ,     33.5,         ,         ,         ,QC,#
dx, 29039,Highest monthly temperature in degrees C                                                                                                                                                                ,1993     ,     34.5,         ,         ,         ,     31.5,     28.9,     30.6,     31.2,     32.4,         ,         ,         ,         ,QC,#
dx, 29039,Highest monthly temperature in degrees C                                                                                                                                                                ,1994     ,         ,     33.0,     33.2,     34.5,     31.4,         ,     29.4,     29.3,     33.7,     35.0,     39.0,     34.7,         ,QC,#
dx, 29039,Highest monthly temperature in degrees C                                                                                                                                                                ,1995     ,     33.5,     34.9,     34.0,     35.2,         ,         ,         ,         ,     32.3,     35.6,     34.7,     37.7,         ,QC,#
dx, 29039,Highest monthly temperature in degrees C                                                                                                                                                                ,1996     ,     33.3,     33.8,     33.5,     34.8,     33.0,         ,         ,         ,         ,         ,     37.7,     35.5,         ,QC,#
dx, 29039,Highest monthly temperature in degrees C                                                                                                                                                                ,1997     ,         ,         ,         ,     34.3,         ,     30.5,     29.8,     31.1,     37.5,     36.7,         ,         ,         ,QC,#
dx, 29039,Highest monthly temperature in degrees C                                                                                                                                                                ,1998     ,     35.5,     35.0,         ,     34.6,     34.2,     32.3,     32.2,     33.1,         ,     37.3,     36.3,     37.7,         ,QC,#
dx, 29039,Highest monthly temperature in degrees C                                                                                                                                                                ,1999     ,     34.8,     34.4,     34.3,     33.7,         ,     33.6,     31.5,     32.8,     35.3,     36.9,         ,         ,         ,QC,#
dx, 29039,Highest monthly temperature in degrees C                                                                                                                                                                ,2000     ,         ,         ,         ,         ,     31.1,     28.6,     30.0,     33.1,     33.2,     35.9,     36.8,         ,         ,QC,#
dx, 29039,Highest monthly temperature in degrees C                                                                                                                                                                ,2001     ,         ,     35.0,     33.9,     33.7,     34.0,     33.1,     31.8,     32.1,     33.5,     36.7,     38.5,     37.5,         ,QC,#
dx, 29039,Highest monthly temperature in degrees C                                                                                                                                                                ,2002     ,     35.6,     37.1,         ,         ,         ,         ,         ,         ,     34.4,     37.1,     34.7,     36.5,         ,QC,#
dx, 29039,Highest monthly temperature in degrees C                                                                                                                                                                ,2003     ,     34.0,     32.4,     33.3,     34.0,     32.9,     32.2,     29.9,     30.9,     34.5,     34.7,     38.1,     36.4,     38.1,QC,#
